_id,Year,BranchCode,CardholderType,Circulation
78,2022,PA,Child,32459
79,2022,PE,Child,10434
80,2022,PK,Child,27280
81,2022,PL,Child,11784
82,2022,PM,Child,27523
83,2022,PR,Child,7128
84,2022,PU,Child,23889
85,2022,PV,Child,25228
86,2022,QS,Child,9894
87,2022,RD,Child,22794
88,2022,RI,Child,65944
89,2022,RN,Child,47518
90,2022,RX,Child,5145
91,2022,SA,Child,11817
92,2022,SB,Child,62
93,2022,SC,Child,28547
94,2022,SI,Child,9063
95,2022,SJ,Child,8056
96,2022,SL,Child,10485
97,2022,SP,Child,5483
98,2022,ST,Child,33194
99,2022,SW,Child,4182
100,2022,SWS,Child,56265
101,2022,TA,Child,12634
102,2022,TH,Child,30963
103,2022,TOD,Child,2967
104,2022,TRL,Child,2865
105,2022,VIR,Child,0
106,2022,VV,Child,9251
107,2022,WE,Child,13027
108,2022,WP,Child,7322
109,2022,WS,Child,53016
110,2022,WY,Child,7319
111,2022,YO,Child,15476
112,2022,YW,Child,6216
113,2022,AB,Teen,12313
114,2022,ACD,Teen,4650
115,2022,AD,Teen,1204
116,2022,AG,Teen,16097
117,2022,AH,Teen,1324
118,2022,AL,Teen,373
119,2022,AN,Teen,2428
120,2022,AP,Teen,1606
121,2022,BB,Teen,4562
122,2022,BC,Teen,1998
123,2022,BD,Teen,3958
124,2022,BE,Teen,3277
125,2022,BF,Teen,11782
126,2022,BKONE,Teen,446
127,2022,BKTWO,Teen,336
128,2022,BL,Teen,6515
129,2022,BR,Teen,6210
130,2022,BRW,Teen,7718
131,2022,BUR,Teen,2945
132,2022,BY,Teen,5029
133,2022,CC,Teen,4420
134,2022,CE,Teen,7689
135,2022,CED,Teen,15681
136,2022,CH,Teen,248
137,2022,CL,Teen,24910
138,2022,CS,Teen,1563
139,2022,DA,Teen,4451
140,2022,DM,Teen,9012
141,2022,DO,Teen,4216
142,2022,DP,Teen,2898
143,2022,DR,Teen,4658
144,2022,DS,Teen,28
145,2022,DT,Teen,933
146,2022,DU,Teen,1419
147,2022,EA,Teen,9131
148,2022,EB,Teen,2250
149,2022,EG,Teen,1611
150,2022,ES,Teen,4274
151,2022,FH,Teen,2724
152,2022,FO,Teen,877
153,2022,FP,Teen,5083
154,2022,FV,Teen,16399
155,2022,GE,Teen,1847
156,2022,GHP,Teen,4819
157,2022,GW,Teen,1708
158,2022,HB,Teen,1269
159,2022,HC,Teen,3789
160,2022,HIL,Teen,5706
161,2022,HLS,Teen,0
162,2022,HP,Teen,1891
163,2022,HS,Teen,864
164,2022,HW,Teen,594
165,2022,IL,Teen,8
166,2022,JD,Teen,3626
167,2022,JO,Teen,1775
168,2022,JS,Teen,3210
169,2022,KE,Teen,6077
170,2022,LB,Teen,907
171,2022,LD,Teen,0
172,2022,LE,Teen,3709
173,2022,LO,Teen,3045
174,2022,LS,Teen,3258
175,2022,MA,Teen,3110
176,2022,MAL,Teen,13307
177,2022,MAS,Teen,2101
178,2022,MCG,Teen,5790
179,2022,MD,Teen,1866
180,2022,ME,Teen,0
181,2022,MI,Teen,2222
182,2022,MP,Teen,174
183,2022,MRV,Teen,1992
184,2022,MS,Teen,4291
185,2022,ND,Teen,6929
186,2022,NE,Teen,2023
187,2022,NT,Teen,1275
188,2022,OS,Teen,0
189,2022,OV,Teen,1054
190,2022,PA,Teen,4700
191,2022,PE,Teen,133
192,2022,PK,Teen,3217
193,2022,PL,Teen,2264
194,2022,PM,Teen,1692
195,2022,PR,Teen,1545
196,2022,PU,Teen,2294
197,2022,PV,Teen,3692
198,2022,QS,Teen,616
199,2022,RD,Teen,3227
200,2022,RI,Teen,12288
201,2022,RN,Teen,4551
202,2022,RX,Teen,1385
203,2022,SA,Teen,2358
204,2022,SB,Teen,14
205,2022,SC,Teen,4915
206,2022,SI,Teen,844
207,2022,SJ,Teen,1323
208,2022,SL,Teen,341
209,2022,SP,Teen,540
210,2022,ST,Teen,4927
211,2022,SW,Teen,121
212,2022,SWS,Teen,4395
213,2022,TA,Teen,688
214,2022,TH,Teen,6934
215,2022,TOD,Teen,140
216,2022,TRL,Teen,1566
217,2022,VIR,Teen,0
218,2022,VV,Teen,1433
219,2022,WE,Teen,3421
220,2022,WP,Teen,1589
221,2022,WS,Teen,6808
222,2022,WY,Teen,365
223,2022,YO,Teen,722
224,2022,YW,Teen,1714
225,2022,AB,Adult,154235
226,2022,ACD,Adult,61488
227,2022,AD,Adult,61986
228,2022,AG,Adult,280325
229,2022,AH,Adult,57284
230,2022,AL,Adult,19989
231,2022,AN,Adult,112159
232,2022,AP,Adult,42256
233,2022,BB,Adult,96976
234,2022,BC,Adult,25947
235,2022,BD,Adult,51446
236,2022,BE,Adult,191454
237,2022,BF,Adult,297497
238,2022,BKONE,Adult,21402
239,2022,BKTWO,Adult,9913
240,2022,BL,Adult,244420
241,2022,BR,Adult,291858
242,2022,BRW,Adult,153176
243,2022,BUR,Adult,49645
244,2022,BY,Adult,212816
245,2022,CC,Adult,95740
246,2022,CE,Adult,176191
247,2022,CED,Adult,174675
248,2022,CH,Adult,63456
249,2022,CL,Adult,591521
250,2022,CS,Adult,112009
251,2022,DA,Adult,187082
252,2022,DM,Adult,317752
253,2022,DO,Adult,95494
254,2022,DP,Adult,262257
255,2022,DR,Adult,69250
256,2022,DS,Adult,7796
257,2022,DT,Adult,47827
258,2022,DU,Adult,129390
259,2022,EA,Adult,291823
260,2022,EB,Adult,61739
261,2022,EG,Adult,28929
262,2022,ES,Adult,109297
263,2022,FH,Adult,119028
264,2022,FO,Adult,151572
265,2022,FP,Adult,44593
266,2022,FV,Adult,321120
267,2022,GE,Adult,78634
268,2022,GHP,Adult,84668
269,2022,GW,Adult,52480
270,2022,HB,Adult,72571
271,2022,HC,Adult,66680
272,2022,HIL,Adult,137876
273,2022,HLS,Adult,112051
274,2022,HP,Adult,171164
275,2022,HS,Adult,28172
276,2022,HW,Adult,20281
277,2022,IL,Adult,4425
278,2022,JD,Adult,170853
279,2022,JO,Adult,90712
280,2022,JS,Adult,54553
281,2022,KE,Adult,78345
282,2022,LB,Adult,78419
283,2022,LD,Adult,26
284,2022,LE,Adult,232538
285,2022,LO,Adult,130206
286,2022,LS,Adult,211889
287,2022,MA,Adult,195642
288,2022,MAL,Adult,138280
289,2022,MAS,Adult,112084
290,2022,MCG,Adult,68504
291,2022,MD,Adult,60089
292,2022,ME,Adult,11
293,2022,MI,Adult,134927
294,2022,MP,Adult,9108
295,2022,MRV,Adult,44032
296,2022,MS,Adult,115424
297,2022,ND,Adult,329293
298,2022,NE,Adult,39650
299,2022,NT,Adult,60980
300,2022,OS,Adult,44
301,2022,OV,Adult,88942
302,2022,PA,Adult,231590
303,2022,PE,Adult,49576
304,2022,PK,Adult,248893
305,2022,PL,Adult,163117
306,2022,PM,Adult,155455
307,2022,PR,Adult,77780
308,2022,PU,Adult,83618
309,2022,PV,Adult,71368
310,2022,QS,Adult,62576
311,2022,RD,Adult,145071
312,2022,RI,Adult,320144
313,2022,RN,Adult,310675
314,2022,RX,Adult,28777
315,2022,SA,Adult,88232
316,2022,SB,Adult,5443
317,2022,SC,Adult,100655
318,2022,SI,Adult,34843
319,2022,SJ,Adult,71682
320,2022,SL,Adult,135740
321,2022,SP,Adult,66179
322,2022,ST,Adult,94780
323,2022,SW,Adult,12042
324,2022,SWS,Adult,278287
325,2022,TA,Adult,65410
326,2022,TH,Adult,53830
327,2022,TOD,Adult,17812
328,2022,TRL,Adult,235078
329,2022,VIR,Adult,10798160
330,2022,VV,Adult,38370
331,2022,WE,Adult,62218
332,2022,WP,Adult,26173
333,2022,WS,Adult,116506
334,2022,WY,Adult,40269
335,2022,YO,Adult,125926
336,2022,YW,Adult,35765
337,2023,AB,Child,35228
338,2023,ACD,Child,30787
339,2023,AD,Child,30158
340,2023,AG,Child,75094
341,2023,AH,Child,5198
342,2023,AL,Child,2085
343,2023,AN,Child,21626
344,2023,AP,Child,9841
345,2023,BB,Child,23815
346,2023,BC,Child,5277
347,2023,BD,Child,14181
348,2023,BE,Child,18500
349,2023,BF,Child,54173
350,2023,BKONE,Child,4285
351,2023,BKTWO,Child,2704
352,2023,BL,Child,33212
353,2023,BR,Child,44301
354,2023,BRW,Child,34331
355,2023,BUR,Child,13861
356,2023,CC,Child,14311
357,2023,CE,Child,30442
358,2023,CED,Child,34658
359,2023,CH,Child,6271
360,2023,CL,Child,109202
361,2023,CS,Child,14025
362,2023,DA,Child,25297
363,2023,DM,Child,63033
364,2023,DO,Child,16839
365,2023,DP,Child,18556
366,2023,DR,Child,21078
367,2023,DS,Child,252
368,2023,DT,Child,8947
369,2023,DU,Child,15726
370,2023,EA,Child,47412
371,2023,EB,Child,11943
372,2023,EG,Child,5567
373,2023,EN0,Child,0
374,2023,EN,Child,41839
375,2023,ES,Child,18347
376,2023,FH,Child,18114
377,2023,FO,Child,28942
378,2023,FP,Child,15418
379,2023,FV,Child,80153
380,2023,GE,Child,19332
381,2023,GHP,Child,28032
382,2023,GW,Child,8978
383,2023,HB,Child,9721
384,2023,HC,Child,16291
385,2023,HIL,Child,34230
386,2023,HLS,Child,5
387,2023,HP,Child,26266
388,2023,HS,Child,5110
389,2023,HW,Child,10731
390,2023,IL,Child,0
391,2023,JD,Child,25614
392,2023,JO,Child,14442
393,2023,JS,Child,11459
394,2023,KE,Child,22687
395,2023,LB,Child,11813
396,2023,LD,Child,0
397,2023,LE,Child,44301
398,2023,LO,Child,40204
399,2023,LS,Child,18246
400,2023,MA,Child,22830
401,2023,MAL,Child,50018
402,2023,MAS,Child,16776
403,2023,MCG,Child,21572
404,2023,MD,Child,10476
405,2023,ME,Child,0
406,2023,MI,Child,19998
407,2023,MP,Child,5608
408,2023,MRV,Child,17156
409,2023,MS,Child,15074
410,2023,ND,Child,34606
411,2023,NE,Child,4006
412,2023,NT,Child,15218
413,2023,OS,Child,0
414,2023,OV,Child,15168
415,2023,PA,Child,28928
416,2023,PE,Child,10248
417,2023,PK,Child,21448
418,2023,PL,Child,8971
419,2023,PM,Child,19723
420,2023,PR,Child,3451
421,2023,PU,Child,25915
422,2023,PV,Child,25303
423,2023,QS,Child,7518
424,2023,RD,Child,18007
425,2023,RI,Child,54386
426,2023,RN,Child,33388
427,2023,RX,Child,5953
428,2023,SA,Child,8683
429,2023,SB,Child,30
430,2023,SC,Child,25570
431,2023,SI,Child,9221
432,2023,SJ,Child,11986
433,2023,SL,Child,8461
434,2023,SP,Child,4756
435,2023,ST,Child,33190
436,2023,SW,Child,6023
437,2023,SWS,Child,49627
438,2023,TA,Child,9650
439,2023,TH,Child,23913
440,2023,TOD,Child,3312
441,2023,TRL,Child,2601
442,2023,VIR,Child,0
443,2023,VV,Child,9112
444,2023,WE,Child,11876
445,2023,WP,Child,6006
446,2023,WS,Child,41300
447,2023,WY,Child,21407
448,2023,YO,Child,13018
449,2023,YW,Child,8000
450,2023,AB,Teen,7730
451,2023,ACD,Teen,5761
452,2023,AD,Teen,647
453,2023,AG,Teen,15187
454,2023,AH,Teen,603
455,2023,AL,Teen,309
456,2023,AN,Teen,2331
457,2023,AP,Teen,1932
458,2023,BB,Teen,3022
459,2023,BC,Teen,927
460,2023,BD,Teen,3478
461,2023,BE,Teen,2735
462,2023,BF,Teen,10078
463,2023,BKONE,Teen,296
464,2023,BKTWO,Teen,185
465,2023,BL,Teen,4357
466,2023,BR,Teen,3838
467,2023,BRW,Teen,6733
468,2023,BUR,Teen,2284
469,2023,CC,Teen,3906
470,2023,CE,Teen,5486
471,2023,CED,Teen,10230
472,2023,CH,Teen,224
473,2023,CL,Teen,20761
474,2023,CS,Teen,1360
475,2023,DA,Teen,3185
476,2023,DM,Teen,6403
477,2023,DO,Teen,3183
478,2023,DP,Teen,1324
479,2023,DR,Teen,3827
480,2023,DS,Teen,3
481,2023,DT,Teen,472
482,2023,DU,Teen,1293
483,2023,EA,Teen,6599
484,2023,EB,Teen,1938
485,2023,EG,Teen,1883
486,2023,EN0,Teen,0
487,2023,EN,Teen,3719
488,2023,ES,Teen,2788
489,2023,FH,Teen,1619
490,2023,FO,Teen,1171
491,2023,FP,Teen,3568
492,2023,FV,Teen,12699
493,2023,GE,Teen,1694
494,2023,GHP,Teen,4160
495,2023,GW,Teen,1665
496,2023,HB,Teen,922
497,2023,HC,Teen,2942
498,2023,HIL,Teen,5457
499,2023,HLS,Teen,2
500,2023,HP,Teen,2650
501,2023,HS,Teen,751
502,2023,HW,Teen,796
503,2023,IL,Teen,0
504,2023,JD,Teen,4315
505,2023,JO,Teen,1654
506,2023,JS,Teen,2286
507,2023,KE,Teen,4097
508,2023,LB,Teen,905
509,2023,LD,Teen,0
510,2023,LE,Teen,2823
511,2023,LO,Teen,2642
512,2023,LS,Teen,1737
513,2023,MA,Teen,2207
514,2023,MAL,Teen,9542
515,2023,MAS,Teen,1747
516,2023,MCG,Teen,5167
517,2023,MD,Teen,1558
518,2023,ME,Teen,0
519,2023,MI,Teen,1071
520,2023,MP,Teen,317
521,2023,MRV,Teen,2866
522,2023,MS,Teen,3126
523,2023,ND,Teen,4991
524,2023,NE,Teen,1008
525,2023,NT,Teen,935
526,2023,OS,Teen,0
527,2023,OV,Teen,822
528,2023,PA,Teen,3930
529,2023,PE,Teen,474
530,2023,PK,Teen,2925
531,2023,PL,Teen,1329
532,2023,PM,Teen,1314
533,2023,PR,Teen,1103
534,2023,PU,Teen,1782
535,2023,PV,Teen,3544
536,2023,QS,Teen,246
537,2023,RD,Teen,1994
538,2023,RI,Teen,7735
539,2023,RN,Teen,3618
540,2023,RX,Teen,758
541,2023,SA,Teen,1893
542,2023,SB,Teen,21
543,2023,SC,Teen,3558
544,2023,SI,Teen,758
545,2023,SJ,Teen,1492
546,2023,SL,Teen,638
547,2023,SP,Teen,359
548,2023,ST,Teen,4178
549,2023,SW,Teen,119
550,2023,SWS,Teen,2843
551,2023,TA,Teen,702
552,2023,TH,Teen,5274
553,2023,TOD,Teen,203
554,2023,TRL,Teen,1338
555,2023,VIR,Teen,0
556,2023,VV,Teen,818
557,2023,WE,Teen,1928
558,2023,WP,Teen,1561
559,2023,WS,Teen,6098
560,2023,WY,Teen,1174
561,2023,YO,Teen,382
562,2023,YW,Teen,2258
563,2023,AB,Adult,115744
564,2023,ACD,Adult,96726
565,2023,AD,Adult,56795
566,2023,AG,Adult,219646
567,2023,AH,Adult,27094
568,2023,AL,Adult,17760
569,2023,AN,Adult,112509
570,2023,AP,Adult,33897
571,2023,BB,Adult,65815
572,2023,BC,Adult,22770
573,2023,BD,Adult,48827
574,2023,BE,Adult,142811
575,2023,BF,Adult,225403
576,2023,BKONE,Adult,14334
577,2023,BKTWO,Adult,6365
578,2023,BL,Adult,189520
579,2023,BR,Adult,233402
580,2023,BRW,Adult,119132
581,2023,BUR,Adult,39265
582,2023,CC,Adult,67680
583,2023,CE,Adult,134179
584,2023,CED,Adult,110614
585,2023,CH,Adult,72358
586,2023,CL,Adult,486145
587,2023,CS,Adult,98880
588,2023,DA,Adult,126335
589,2023,DM,Adult,209567
590,2023,DO,Adult,81499
591,2023,DP,Adult,178924
592,2023,DR,Adult,63356
593,2023,DS,Adult,4745
594,2023,DT,Adult,48217
595,2023,DU,Adult,78673
596,2023,EA,Adult,214134
597,2023,EB,Adult,50182
598,2023,EG,Adult,25698
599,2023,EN0,Adult,0
600,2023,EN,Adult,142467
601,2023,ES,Adult,77141
602,2023,FH,Adult,96290
603,2023,FO,Adult,157587
604,2023,FP,Adult,39418
605,2023,FV,Adult,232809
606,2023,GE,Adult,85325
607,2023,GHP,Adult,76449
608,2023,GW,Adult,49346
609,2023,HB,Adult,70240
610,2023,HC,Adult,62508
611,2023,HIL,Adult,124011
612,2023,HLS,Adult,43662
613,2023,HP,Adult,152842
614,2023,HS,Adult,24491
615,2023,HW,Adult,22144
616,2023,IL,Adult,4861
617,2023,JD,Adult,126927
618,2023,JO,Adult,79028
619,2023,JS,Adult,45902
620,2023,KE,Adult,55158
621,2023,LB,Adult,68942
622,2023,LD,Adult,94
623,2023,LE,Adult,188176
624,2023,LO,Adult,143745
625,2023,LS,Adult,138574
626,2023,MA,Adult,132519
627,2023,MAL,Adult,111506
628,2023,MAS,Adult,75397
629,2023,MCG,Adult,59507
630,2023,MD,Adult,46733
631,2023,ME,Adult,7
632,2023,MI,Adult,77141
633,2023,MP,Adult,26500
634,2023,MRV,Adult,70038
635,2023,MS,Adult,72355
636,2023,ND,Adult,230234
637,2023,NE,Adult,25367
638,2023,NT,Adult,57815
639,2023,OS,Adult,106
640,2023,OV,Adult,62486
641,2023,PA,Adult,179535
642,2023,PE,Adult,49539
643,2023,PK,Adult,153521
644,2023,PL,Adult,95236
645,2023,PM,Adult,106558
646,2023,PR,Adult,50492
647,2023,PU,Adult,82203
648,2023,PV,Adult,66600
649,2023,QS,Adult,44832
650,2023,RD,Adult,102989
651,2023,RI,Adult,244612
652,2023,RN,Adult,196288
653,2023,RX,Adult,28067
654,2023,SA,Adult,64194
655,2023,SB,Adult,2471
656,2023,SC,Adult,81071
657,2023,SI,Adult,38023
658,2023,SJ,Adult,85613
659,2023,SL,Adult,114785
660,2023,SP,Adult,63637
661,2023,ST,Adult,78241
662,2023,SW,Adult,19382
663,2023,SWS,Adult,195013
664,2023,TA,Adult,58163
665,2023,TH,Adult,49420
666,2023,TOD,Adult,23406
667,2023,TRL,Adult,177461
668,2023,VIR,Adult,12313520
669,2023,VV,Adult,34289
670,2023,WE,Adult,46259
671,2023,WP,Adult,20904
672,2023,WS,Adult,85742
673,2023,WY,Adult,126880
674,2023,YO,Adult,93194
675,2023,YW,Adult,35246
